,CYS_chi1,ASP_chi1,ASP_chi2,GLU_chi1,GLU_chi2,GLU_chi3,PHE_chi1,PHE_chi2,HIS_chi1,HIS_chi2,ILE_chi1,ILE_chi2,LYS_chi1,LYS_chi2,LYS_chi3,LYS_chi4,LEU_chi1,LEU_chi2,MET_chi1,MET_chi2,MET_chi3,ASN_chi1,ASN_chi2,PRO_chi1,GLN_chi1,GLN_chi2,GLN_chi3,ARG_chi1,ARG_chi2,ARG_chi3,ARG_chi4,SER_chi1,THR_chi1,VAL_chi1,TRP_chi1,TRP_chi2,TYR_chi1,TYR_chi2
5.0,2.3397143879028933e-05,2.791306359289212e-06,0.04912483091211519,2.7048086877485362e-05,5.630276727012685e-06,0.047161640840441096,6.0433180067614e-06,0.004098694171435019,0.0,0.000731555841900407,0.0,4.2240496265487596e-05,2.199742487357235e-06,3.5745815419555077e-06,6.543176331384166e-05,0.000803566988200095,1.0882751412828481e-05,8.429185639754427e-05,2.920042912279714e-05,1.3723439274421656e-07,0.0005391786808261588,4.47318582307253e-07,0.052259708099277005,0.008901442508787782,2.4649485233765875e-05,1.0874100992838328e-06,0.0469134714156528,5.241006294641741e-06,2.66304751610142e-06,0.00011423507971918834,0.0,6.133189598826725e-06,2.4021043807006013e-06,0.0003607949533079563,2.7679704857833223e-05,0.022423936508608043,6.0433180067614e-06,0.004098694171435019
15.0,3.0353051518740238e-06,1.431670035893499e-05,0.03577513812239266,9.250376446832693e-05,4.2875200453682975e-05,0.04284668405308434,4.1227018731057216e-05,0.003949846421076703,2.5925888559972915e-05,0.0007282711139380574,9.353244278379112e-06,6.275730873729586e-05,8.729699212447167e-05,3.691971645848095e-05,0.00030953443745776325,0.0016113325233592332,8.330251536001437e-05,0.00022062305136915928,0.00014957023982533366,1.831316729842254e-05,0.0011565199724530837,1.0810199072425282e-05,0.04635159881725985,0.05146326487769688,9.839233818519753e-05,1.6594426389070926e-05,0.04838820054408154,8.415276144792587e-05,1.6132364702462302e-05,0.0006599735451755838,0.0,4.512594974903168e-05,1.2010521903503008e-05,0.0001035370583431324,9.294079761207303e-05,0.02109125998691627,4.1227018731057216e-05,0.003949846421076703
25.0,0.00012406809808285073,6.266932987307392e-05,0.02519203512435855,0.00045984221451270634,0.0003276593469243105,0.03580474544658049,0.0003177295138349288,0.004105606733812614,0.00022969633393858026,0.0013448614771562355,0.00014150553440515494,0.00010137719103717023,0.0009497493946015121,0.0008494654612536047,0.0012930890092748434,0.003908900097293644,0.0002924492106938272,0.0007766327144609318,0.0008451198870505964,0.00041940355249218145,0.0028971552652231397,0.0001122769641591199,0.04559033714326996,0.2367685845925098,0.0005123255010625733,0.00024156495529090177,0.051097702116047077,0.0009424106614881856,0.0004867765697177741,0.003199987346154864,0.0,0.00033271434378451714,0.00017037783214540696,2.4299513692775975e-05,0.0006132292336389799,0.018522673391409703,0.0003177295138349288,0.004105606733812614
35.0,0.0012677457850993677,0.0007155648915248674,0.016346340250700725,0.002093216167637444,0.0017995165917625406,0.027694939266718382,0.002015487947844005,0.005387079899369644,0.0020054437327273063,0.003466913052546956,0.0014919933211801203,0.00038197477337219044,0.004489415312412726,0.004335116067746662,0.004649473017580557,0.00988313101298748,0.0008142276738870661,0.004990236193300583,0.003605117000858825,0.0032959584105378306,0.0069505712823797515,0.0010110891022084806,0.044307203789921604,0.1701770502360512,0.002399950640719372,0.0018548063718284145,0.05313670570700419,0.004630128951038882,0.0034301546809532494,0.011081191381319442,2.655688490150174e-05,0.001803247277669626,0.0013491247675320333,4.9655527980890024e-05,0.003989478111541999,0.016398987417886347,0.002015487947844005,0.005387079899369644
45.0,0.006696389049226057,0.010261922682434588,0.011882276024001987,0.009017986527549267,0.009797814486874185,0.021511274283369217,0.01086563742062246,0.008816580083028559,0.011283275174096434,0.010147697792827037,0.011699098286908002,0.0028204582792126696,0.012170768018673681,0.01163155085361773,0.01266137933530708,0.021657469478110297,0.0029331983080685005,0.030272450670961182,0.012306204452286232,0.015105938546926862,0.020198737358196456,0.0089745527168304,0.03898224883303901,0.002455225400110993,0.010365430651773307,0.012219839524952005,0.053517230707503576,0.012641162301852428,0.01022925764420602,0.02791403876712334,0.0013845823351590707,0.01532312507946285,0.029437789185485858,0.0015372083662168854,0.021161696959440673,0.015154300852287356,0.01086563742062246,0.008816580083028559
55.0,0.03995346877202176,0.06368374462932397,0.012214396459687093,0.021459849220199733,0.024934768939775954,0.018129499856570315,0.03421188551770167,0.017740160008848073,0.038287375687710574,0.02793872293061551,0.057845290098414257,0.015325153762949307,0.021468080110496862,0.0199738838745894,0.0241654614571935,0.035052140374557464,0.008518226333132048,0.10419502365415495,0.023691352653536755,0.02919960571644068,0.04419627519021146,0.04890556426294311,0.03362918735856812,8.186528846512434e-07,0.022137339456920334,0.029800674804673282,0.05053565273216724,0.022607992481246373,0.01838534429560515,0.048894509068995694,0.008825472850705448,0.12938737941791106,0.16728992696401634,0.017148061162932448,0.049234768679806355,0.01887418313927909,0.03421188551770167,0.017740160008848073
65.0,0.0847176432676679,0.09241520123833155,0.013610004618261388,0.03085362950792212,0.037333410105636275,0.016050571574347024,0.046891511762490665,0.036815976082368605,0.051969323456312756,0.05532830973295396,0.0800860981221703,0.027488908098257384,0.026087200912025918,0.02415103622280525,0.032481825883560814,0.04141966515318921,0.01212694670162598,0.13975589790712833,0.029861776909697383,0.035486907930421786,0.07074202697149867,0.07897499034351012,0.028007361969227606,8.186528846512434e-07,0.028976084416066347,0.041408169944178584,0.04258075897825632,0.027718509447599137,0.022324720575427434,0.05892545706168535,0.026090844687097287,0.23775412445808572,0.20916169473954585,0.042635081524868425,0.05449593794705255,0.030891450774345366,0.046891511762490665,0.036815976082368605
75.0,0.0342326773870272,0.03525545990779143,0.012213766164702737,0.025798620615845005,0.039256649307339415,0.01413755174819111,0.026429416487843777,0.07121524585086898,0.03023380928259428,0.07881528778088238,0.022763986268230497,0.01632987413840697,0.022555477333676258,0.021664068705572366,0.03224860030147576,0.036529108819542314,0.009125285993760394,0.06347295507659578,0.024819541348021102,0.029321942553439208,0.08016274108194503,0.03486557592006537,0.01979504011664875,8.186528846512432e-07,0.02388753514961766,0.03836371407898366,0.0328657823238546,0.023822680203843254,0.019647129784289893,0.050418747319144246,0.045758289982403826,0.10518536558286791,0.05574855320395254,0.014967972184452302,0.02891764027590589,0.06186819104577302,0.026429416487843777,0.07121524585086898
85.0,0.006664518345131385,0.003908729324411098,0.010482660990170003,0.010511118104484306,0.030977371907939096,0.013073366228486231,0.007447189058249876,0.09845624683294958,0.008412657558428845,0.07473061124798781,0.0028258866422999356,0.01190578559025808,0.013555955381079062,0.014840446358420153,0.024399385034490868,0.024560220052508797,0.0040046546517133455,0.030478035738559867,0.011425327381792829,0.01513186059888964,0.060562559151835366,0.005419115518458251,0.014175824085705035,8.186528846512434e-07,0.010333329209094452,0.02479011751467322,0.024809430466310504,0.013958743005421164,0.013240407785061097,0.029890491461670592,0.05466577457794453,0.012481085601419665,0.004536888859606077,0.002252459269260771,0.006247286882587852,0.10274863970003305,0.007447189058249876,0.09845624683294958
95.0,0.0009632035015280066,0.00027759991953833877,0.010342375335080565,0.003237137004482199,0.017975281838393593,0.013859373089433018,0.001213465141686408,0.08894514049762339,0.0013479115816927008,0.04867169120553974,0.00035572500013576736,0.010766499062411788,0.00532479924904174,0.008206266257306555,0.014691868559358218,0.013338582750862039,0.0007706966682357527,0.01599804031327283,0.0037340410887090852,0.006420221347486783,0.03628719791584263,0.0006890197229472627,0.012528200640873321,8.186528846512432e-07,0.0033056353228228907,0.013885020765055307,0.020612767652974425,0.0052031257085577605,0.0073745879914213835,0.012612742663507025,0.048942423227025016,0.0015801245261327444,0.00042517247538400183,0.0001922831083515316,0.00089542720023835,0.10579633273165609,0.001213465141686408,0.08894514049762339
105.0,9.069379375090254e-05,2.9263695702225606e-05,0.014770107558038233,0.0007000244763664454,0.006561399820179434,0.01627958948450685,0.0001602721049464363,0.0581026945168148,0.00014265104293631958,0.027561448461797085,7.211049621072928e-05,0.006320385112638773,0.0012064847245201848,0.004080152165071406,0.007792545458722827,0.0067900921377475375,0.00012208468403118497,0.0059783900215853985,0.0006587555817039531,0.0020400654894720594,0.020104609813039784,0.00011525908804116697,0.012864062343089021,8.186528846512432e-07,0.0007358887933653353,0.006180496333079506,0.017942919998032787,0.0010039712132658347,0.0035076130284811538,0.0042481035163456455,0.03599723656617113,0.0004027311943871779,3.551682905750175e-05,5.493803095758045e-05,0.00010441774840678454,0.07237725232346369,0.0001602721049464363,0.0581026945168148
